Common.Name,Scientific.Name,Code,Audubon.Habitat.Guild,Habitat,Start.Date,End.Date,Type,Vagrant,Group,Background,Threshold,Drop.BCR,Drop.from.M,Add.to.M,BCR.Mask,Season,Generation.Time,Dispersal.Distance,Dispersal.Rate
Mountain Plover,Charadrius montanus,MOPL,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Mountain Quail,Oreortyx pictus,MOUQ,Sh,F-W,1,366,resident,2,Western.Forests,background_jan_dec,tss,,,,"43,45,46,47,48,50,51,52,53,54,60",Non-Breeding,,,
Mourning Dove,Zenaida macroura,MODO,Var,GEN,1,60,two-season,2,Generalists,background_jan_feb,om_10,,,,,Non-Breeding,,,
Muscovy Duck,Cairina moschata,MUDU,Wet,F-S,1,366,resident,2,Waterbirds,background_jan_dec,eq,"0,100,9,18,19,23,5,26,31,33,32,27,28,29,22,24,13,21,20,30,37",,,,Non-Breeding,,,
Mute Swan,Cygnus olor,MUSW,Wet,"M,C",1,366,resident,2,Waterbirds,background_jan_dec,eq,,,,,Non-Breeding,,,
Nashville Warbler,Oreothlypis ruficapilla,NAWA,Wd,"F-W,F-B,F-E",1,60,two-season,2,Eastern.Forests,background_jan_feb,custom,,,,"31,55,56",Non-Breeding,,,
Nelson's Sparrow,Ammodramus nelsoni,NESP,Wet,"G,C",335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,"5,32",Non-Breeding,,,
Neotropic Cormorant,Phalacrocorax brasilianus,NECO,Wet,GEN,1,366,resident,2,Coastal,background_jan_dec,tss,"11,29,19,23,31,32,24,0,100,13,16,18,20,17,9,10,22,23,24,25,25,21,28,29,26",,,,Non-Breeding,,,
Northern Beardless-Tyrannulet,Camptostoma imberbe,NOBT,Wd,D,1,366,resident,8,Aridlands,background_jan_dec,tss,,,,"31, 32, 40, 42",Non-Breeding,,,
Northern Bobwhite,Colinus virginianus,NOBO,Sh,"F-E,G",1,366,resident,10,Grasslands,background_jan_dec,tss,,,,,Non-Breeding,,,
Northern Cardinal,Cardinalis cardinalis,NOCA,Sh,F-E,1,366,resident,2,Eastern.Forests,background_jan_dec,custom,,,,,Non-Breeding,,,
Northern Flicker,Colaptes auratus,NOFL,Wd,"F-E,F-B,F-W",1,60,two-season,2,Generalists,background_jan_feb,custom,,,,,Non-Breeding,,,
Northern Fulmar,Fulmarus glacialis,NOFU,Wet,"O,C",1,60,two-season,2,Coastal,background_jan_feb,eq,,,"3,7",,Non-Breeding,,,
Northern Gannet,Morus bassanus,NOGA,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,tss,,,"7,8",,Non-Breeding,,,
Northern Goshawk,Accipiter gentilis,NOGO,Wd,"F-W,F-B,F-E",1,366,two-season,2,Boreal.Forests,background_jan_dec,om_10,,,,,Non-Breeding,,,
Northern Harrier,Circus cyaneus,NOHA,Gr,GEN,1,60,two-season,2,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Northern Hawk Owl,Surnia ulula,NHOW,Wd,F-B,1,366,resident,2,Boreal.Forests,background_jan_dec,mo,,,,,Non-Breeding,,,
Northern Mockingbird,Mimus polyglottos,NOMO,Sh,GEN,1,60,two-season,2,Generalists,background_jan_feb,om_10,"11,5,12,15,0,9,10,16,18",,,,Non-Breeding,,,
Northern Parula,Setophaga americana,NOPA,Wd,"F-E,F-B",1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,"27,33,45","20,21,37",,,Non-Breeding,,,
Northern Pintail,Anas acuta,NOPI,Wet,"G,A",1,60,two-season,2,Marshlands,background_jan_feb,eq,,,,,Non-Breeding,,,
Northern Pygmy-Owl,Glaucidium gnoma,NOPO,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,tss,,,,"1,2,3,7,8",Non-Breeding,,,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,NRWS,Var,GEN,335,1,two-season,2,Generalists,background_dec,om_10,"11,22,30,32,35,29,0,22",,,,Non-Breeding,,,
Northern Saw-whet Owl,Aegolius acadicus,NSWO,Wd,"F-B,F-E,F-W",1,366,two-season,2,Boreal.Forests,background_jan_dec,custom,,,,"1,2",Non-Breeding,,,
Northern Shoveler,Anas clypeata,NSHO,Wet,G,1,60,two-season,10,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Northern Shrike,Lanius excubitor,NSHR,Sh,"A,F-B",1,60,two-season,2,Boreal.Forests,background_jan_feb,tss,"7,8",,,"33,34,39,45",Non-Breeding,,,
Northern Waterthrush,Parkesia noveboracensis,NOWA,Wd,"F-B,F-E,F-W",1,60,two-season,7,Boreal.Forests,background_jan_feb,tss,"0,5,7,100","0,100",,,Non-Breeding,,,
Northwestern Crow,Corvus caurinus,NOCR,Wet,F-W,1,366,resident,2,Generalists,background_jan_dec,mk,,,,"7,8",Non-Breeding,,,
Nuttall's Woodpecker,Picoides nuttallii,NUWO,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,mk,,,,,Non-Breeding,,,
Oak Titmouse,Baeolophus inornatus,OATI,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,eq,,,,,Non-Breeding,,,
Olive Sparrow,Arremonops rufivirgatus,OLSP,Sh,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,mo,,,,,Non-Breeding,,,
Olive Warbler,Peucedramus taeniatus,OLWA,Wd,F-W,1,60,two-season,2,Subtropical.Forests,background_jan_feb,eq,,"5,9,10,13,15,16,18,19,22,23,24,28,32",,"0,5,9,10,15,16,18,19,20,21,22,24,25,26,27,28,29,30,32,37,39,42",Non-Breeding,,,
Orange-crowned Warbler,Oreothlypis celata,OCWA,Var,"F-W,F-B",1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Orchard Oriole,Icterus spurius,OROR,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,om_10,"5,32,37,31,27,30,13,28,29,100",,,,Non-Breeding,,,
Osprey,Pandion haliaetus,OSPR,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,custom,"6,10,19,24,28",,,,Non-Breeding,,,
Ovenbird,Seiurus aurocapilla,OVEN,Wd,"F-E,F-B,F-W",1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Pacific Golden-Plover,Pluvialis fulva,PAGP,Gr,A,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Pacific Loon,Gavia pacifica,PALO,Wet,"A,F-B",1,60,two-season,5,Waterbirds,background_jan_feb,custom,"28,30,9,29,18,0,27,25,24",,,,Non-Breeding,,,
Pacific Wren,Troglodytes pacificus,PAWR,Wd,"F-E,F-W,F-B",1,60,two-season,2,Western.Forests,background_jan_feb,mk,,,,,Non-Breeding,,,
Pacific-slope Flycatcher,Empidonax difficilis,PSFL,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mo,,,,,Non-Breeding,,,
Painted Bunting,Passerina ciris,PABU,Sh,"F-E,D",1,60,two-season,6,Aridlands,background_jan_feb,tss,"26, 27, 28, 29, 30, 37",,,,Non-Breeding,,,
Painted Redstart,Myioborus pictus,PARE,Wd,F-W,1,60,two-season,2,Subtropical.Forests,background_jan_feb,mk,,,,,Non-Breeding,,,
Palm Warbler,Setophaga palmarum,PAWA,Var,F-B,1,60,two-season,2,Boreal.Forests,background_jan_feb,custom,"0,7,8,12,13,18,19,20,21,24,25,26,28,29,100","0,100",,,Non-Breeding,,,
Parasitic Jaeger,Stercorarius parasiticus,PAJA,Wet,"A,C",1,60,two-season,2,Coastal,background_jan_feb,custom,,,,,Non-Breeding,,,
Pelagic Cormorant,Phalacrocorax pelagicus,PECO,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,custom,,,"30,14,13,12,8,7,27","7,8",Non-Breeding,,,
Peregrine Falcon,Falco peregrinus,PEFA,Var,GEN,1,60,two-season,2,Generalists,background_jun_jul,custom,,,,,Non-Breeding,,,
Phainopepla,Phainopepla nitens,PHAI,Wd,D,1,60,two-season,2,Aridlands,background_jan_feb,tss,"16, 32, 33",,,,Non-Breeding,,,
Pied-billed Grebe,Podilymbus podiceps,PBGR,Wet,M,1,60,two-season,2,Marshlands,background_jan_feb,om_10,,,,,Non-Breeding,,,
Pigeon Guillemot,Cepphus columba,PIGU,Wet,C,1,366,resident,2,Coastal,background_jan_dec,custom,,,"30,14,13,12,8,7,27","7,8,14",Non-Breeding,,,
Pileated Woodpecker,Dryocopus pileatus,PIWO,Wd,"F-E,F-W",1,366,resident,2,Eastern.Forests,background_jan_dec,om_10,32,"48,49,52","3,4,2,1","1,2,34,33,34,35,36,39,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,66",Non-Breeding,,,
Pine Grosbeak,Pinicola enucleator,PIGR,Wd,F-B,1,366,two-season,2,Boreal.Forests,background_jan_dec,eq,,,,,Non-Breeding,,,
Pine Siskin,Spinus pinus,PISI,Wd,"F-W,F-B",1,60,two-season,2,Western.Forests,background_jan_feb,custom,,,,"1,2",Non-Breeding,,,
Pine Warbler,Setophaga pinus,PIWA,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,"0,4,7","2,3,4,33,34,35,36,40",,"32,34,35,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,66",Non-Breeding,,,
Pinyon Jay,Gymnorhinus cyanocephalus,PIJA,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,tss,,,,,Non-Breeding,,,
Piping Plover,Charadrius melodus,PIPL,Wet,"C,G",1,60,two-season,2,Coastal,background_jan_feb,custom,,,,"43,44,45,47,53,61,9,10,16,17,18,32,33,11",Non-Breeding,,,
Plain Chachalaca,Ortalis vetula,PLCH,Wd,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,om_10,,,,"31,33,34,38,40,42,43,44,45",Non-Breeding,,,
Plumbeous Vireo,Vireo plumbeus,PLVI,Wd,"F-E,F-B,F-W",1,60,two-season,2,Western.Forests,background_jan_feb,mk,,,,,Non-Breeding,,,
Prairie Falcon,Falco mexicanus,PRFA,Gr,GEN,1,60,two-season,2,Aridlands,background_jan_feb,tss,,,,"47, 51, 53, 54",Non-Breeding,,,
Prairie Warbler,Setophaga discolor,PRAW,Sh,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,27,37,,"34,35,36,38,43,44,45,47,48,49,50,51,52,53,54,58,59,60,61,65,66,37",Non-Breeding,,,
Purple Finch,Haemorhous purpureus,PUFI,Wd,"F-B,F-W,F-E",1,60,two-season,2,Boreal.Forests,background_jan_feb,tss,,,,"34,35,36,39,42,43,45,46,47,48,50,51,52,53,54,58,60",Non-Breeding,,,
Purple Sandpiper,Calidris maritima,PUSA,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,custom,"31,37",,,"1,2,4,5,6,9,10,16,18,19,20,21,34,35,43,44,45,100",Non-Breeding,,,
Pygmy Nuthatch,Sitta pygmaea,PYNU,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,tss,,,,28,Non-Breeding,,,
Pyrrhuloxia,Cardinalis sinuatus,PYRR,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,eq,,,,,Non-Breeding,,,
Razorbill,Alca torda,RAZO,Wet,"O,C",1,60,two-season,2,Coastal,background_jan_feb,eq,29,,,"37,1,2,4,27",Non-Breeding,,,
Red Crossbill,Loxia curvirostra,RECR,Wd,"F-W,F-B,F-E",1,366,two-season,2,Boreal.Forests,background_jan_dec,om_10,,,,"1,2",Non-Breeding,,,
Red Knot,Calidris canutus,REKN,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,tss,,,,"1,2,33,34,35,39,46,47,48,51,53,54",Non-Breeding,,,
Red-bellied Woodpecker,Melanerpes carolinus,RBWO,Wd,F-E,1,366,resident,2,Eastern.Forests,background_jan_dec,om_10,,,,"34,36,47,48,49,52,54,56,57,58,60,61,66",Non-Breeding,,,
Red-breasted Merganser,Mergus serrator,RBME,Wet,"F-B,A",1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Red-breasted Nuthatch,Sitta canadensis,RBNU,Wd,"F-W,F-E,F-B",1,60,two-season,2,Boreal.Forests,background_jan_feb,custom,2,,1,"55,56,57,64,66,65,52,49,58,59,60,61,54,45,53,47,46,50,48,51,40,42,43,45",Non-Breeding,,,
Red-breasted Sapsucker,Sphyrapicus ruber,RBSA,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Red-cockaded Woodpecker,Picoides borealis,RCWO,Wd,F-E,1,366,resident,2,Eastern.Forests,background_jan_dec,tss,,,,,Non-Breeding,,,
Red-crowned Parrot,Amazona viridigenalis,RCPA,Wd,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,mk,"31,32",,"31,32","31,33,34,38,40,41,42,43,45,53,58,59,60,61",Non-Breeding,,,
Reddish Egret,Egretta rufescens,REEG,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,om_10,,,,,Non-Breeding,,,
Red-faced Cormorant,Phalacrocorax urile,RFCO,Wet,C,1,366,resident,2,Coastal,background_jan_dec,tss,"0,5",,,,Non-Breeding,,,
Red-faced Warbler,Cardellina rubrifrons,RFWA,Wd,F-W,1,60,two-season,2,Subtropical.Forests,background_jan_feb,mo,,,,,Non-Breeding,,,
Redhead,Aythya americana,REDH,Wet,M,1,60,two-season,2,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Red-headed Woodpecker,Melanerpes erythrocephalus,RHWO,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Red-naped Sapsucker,Sphyrapicus nuchalis,RNSA,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mk,,,,,Non-Breeding,,,
Red-necked Grebe,Podiceps grisegena,RNGR,Wet,M,1,60,two-season,10,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Red-shouldered Hawk,Buteo lineatus,RSHA,Wd,"F-E,F-W",1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Red-tailed Hawk,Buteo jamaicensis,RTHA,Wd,GEN,1,60,two-season,2,Generalists,background_jan_feb,custom,"11,17",,,"55,56,57,2",Non-Breeding,,,
Red-throated Loon,Gavia stellata,RTLO,Wet,"A,F-B",1,60,two-season,2,Waterbirds,background_jan_feb,custom,"21,35,18,19,22,23,25,14,29,100,13,24,28",,,,Non-Breeding,,,
Red-winged Blackbird,Agelaius phoeniceus,RWBL,Var,GEN,1,60,two-season,2,Generalists,background_jan_feb,om_10,"6,8,12,14,0,100",,,,Non-Breeding,,,
Rhinoceros Auklet,Cerorhinca monocerata,RHAU,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,tss,,"9,10",3,"33,43,44",Non-Breeding,,,
Ridgway's Rail,Rallus obsoletus,RIRA,Wet,M,1,366,resident,2,Marshlands,background_jan_dec,tss,,,"33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66","20, 21, 35, 36, 37, 48, 49, 52, 59",Non-Breeding,,,
Ring-billed Gull,Larus delawarensis,RBGU,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,custom,"28,29,14,24",,,,Non-Breeding,,,
Ringed Kingfisher,Megaceryle torquata,RIKI,Wet,F-S,1,366,resident,2,Waterbirds,background_jan_dec,mo,,,,,Non-Breeding,,,
Ring-necked Duck,Aythya collaris,RNDU,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Ring-necked Pheasant,Phasianus colchicus,RNEP,Gr,G,1,366,resident,10,Grasslands,background_jan_dec,tss,,,,,Non-Breeding,,,
Rock Pigeon,Columba livia,ROPI,U,Urban/Suburban,1,366,resident,2,Urban.Suburban,background_jan_dec,custom,,,,,Non-Breeding,,,
Rock Ptarmigan,Lagopus muta,ROPT,Gr,A,1,366,resident,2,Arctic,background_jan_dec,eq,,,,"9, 10, 16, 17, 18",Non-Breeding,,,
Rock Sandpiper,Calidris ptilocnemis,ROSA,Wet,A,1,60,wintering,2,Coastal,background_jan_feb,mo,,,"7,8,14,30","7,8,3",Non-Breeding,,,
Rock Wren,Salpinctes obsoletus,ROWR,Var,D,1,60,two-season,3,Aridlands,background_jan_feb,tss,"5, 9, 16, 18, 19",,,,Non-Breeding,,,
Roseate Spoonbill,Platalea ajaja,ROSP,Wet,"F-S,C",1,60,two-season,2,Coastal,background_jan_feb,mk,,,,,Non-Breeding,,,
Rose-breasted Grosbeak,Pheucticus ludovicianus,RBGR,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,mk,,"6,10,16,35,36",,,Non-Breeding,,,
Ross's Goose,Chen rossii,ROGO,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,eq,,,,,Non-Breeding,,,
Rough-legged Hawk,Buteo lagopus,RLHA,Gr,A,1,60,two-season,8,Arctic,background_jan_feb,tss,"0, 5",,,,Non-Breeding,,,
Royal Tern,Thalasseus maximus,ROYT,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,tss,"25,29",,,"5,1,2",Non-Breeding,,,
Ruby-crowned Kinglet,Regulus calendula,RCKI,Wd,"F-W,F-B",1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Ruby-throated Hummingbird,Archilochus colubris,RTHU,Wd,F-E,335,1,two-season,2,Eastern.Forests,background_dec,tss,"26,27,36,37",,,"40,41,42",Non-Breeding,,,
Ruddy Duck,Oxyura jamaicensis,RUDU,Wet,M,1,60,two-season,9,Marshlands,background_jan_feb,eq,,,,,Non-Breeding,,,
Ruddy Turnstone,Arenaria interpres,RUTU,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,tss,,"9,10,16","100,7,8,3,24,28,22,23,12,13",,Non-Breeding,,,
Ruffed Grouse,Bonasa umbellus,RUGR,Wd,"F-B,F-W,F-E",1,366,resident,2,Boreal.Forests,background_jan_dec,custom,,,,"1,15,32,33,34,35,39,43,47,48,54,60",Non-Breeding,,,
Rufous Hummingbird,Selasphorus rufus,RUHU,Wd,F-W,335,1,two-season,2,Western.Forests,background_dec,tss,"0,2,4,5,9,10,11,12,13,15,16,18,19,21,22,23,24,25,26,27,28,29,30,32,100",,,"0,5,6,9,10,11,13,15,16,18,19,22,23,24,28,29,30,32",Non-Breeding,,,
Rufous-crowned Sparrow,Aimophila ruficeps,RCSP,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,mo,,,,,Non-Breeding,,,
Rufous-winged Sparrow,Peucaea carpalis,RWSP,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,tss,,"9, 15, 32, 35",,"18, 19, 20, 21, 22, 25, 28, 31, 35, 36, 37, 38, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 58, 59, 60",Non-Breeding,,,
Rusty Blackbird,Euphagus carolinus,RUBL,Wet,F-B,1,60,two-season,2,Boreal.Forests,background_jan_feb,tss,"0,2,4,5,6,7,8,9,12,13,100","0,100",,,Non-Breeding,,,
Sage Thrasher,Oreoscoptes montanus,SATH,Sh,D,1,60,two-season,6,Aridlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Sagebrush Sparrow,Artemisiospiza nevadensis,SABS,Sh,D,1,60,two-season,2,Aridlands,background_jan_feb,tss,"9, 16",,,,Non-Breeding,,,
Saltmarsh Sparrow,Ammodramus caudacutus,SALS,Wet,"G,C",1,60,two-season,1,Marshlands,background_jan_feb,tss,,"14, 24, 26, 28, 29, 37, 100",,"37, 100",Non-Breeding,,,
Sanderling,Calidris alba,SAND,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Sandhill Crane,Grus canadensis,SACR,Wet,GEN,1,60,two-season,6,Marshlands,background_jan_feb,mo,,,56,,Non-Breeding,,,
Sandwich Tern,Thalasseus sandvicensis,SATE,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,eq,,,,,Non-Breeding,,,
Savannah Sparrow,Passerculus sandwichensis,SAVS,Gr,"G,A",335,32,two-season,4,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Say's Phoebe,Sayornis saya,SAPH,Var,GEN,1,60,two-season,2,Generalists,background_jan_feb,om_10,"11,24,26,29,31,15,19,27,26,25,37,5,9,10,16",,,,Non-Breeding,,,
Scaled Quail,Callipepla squamata,SCQU,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,om_10,,,,,Non-Breeding,,,
Scissor-tailed Flycatcher,Tyrannus forficatus,STFL,Sh,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Scott's Oriole,Icterus parisorum,SCOR,Sh,"F-W,D",1,60,two-season,6,Aridlands,background_jan_feb,tss,,,,"58, 59, 60, 61",Non-Breeding,,,
Seaside Sparrow,Ammodramus maritimus,SESP,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,custom,,,,"36,38,43,44,45,49,52,56,57,66",Non-Breeding,,,
Sedge Wren,Cistothorus platensis,SEWR,Wet,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Semipalmated Plover,Charadrius semipalmatus,SEPL,Wet,"F-B,A",1,60,wintering,2,Coastal,background_jan_feb,custom,"11,30,5",,,,Non-Breeding,,,
Sharp-shinned Hawk,Accipiter striatus,SSHA,Wd,"F-E,F-W,F-B",1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Sharp-tailed Grouse,Tympanuchus phasianellus,STGR,Sh,G,1,366,resident,2,Grasslands,background_jan_dec,tss,,,,,Non-Breeding,,,
Short-billed Dowitcher,Limnodromus griseus,SBDO,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,tss,"11,10,9,6,28,29",,,,Non-Breeding,,,
Short-eared Owl,Asio flammeus,SEOW,Gr,"A,G",335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,"2,3,4,55,56,57,52,66",Non-Breeding,,,
Short-tailed Hawk,Buteo brachyurus,STHA,Wd,F-S,1,60,two-season,2,Subtropical.Forests,background_jan_feb,tss,,,,5,Non-Breeding,,,
Smith's Longspur,Calcarius pictus,SMLO,Gr,A,1,60,two-season,3,Arctic,background_jan_feb,eq,,"11, 13, 17, 23, 35, 100 ",29,,Non-Breeding,,,
Snail Kite,Rostrhamus sociabilis,SNKI,Wet,M,1,366,resident,6,Marshlands,background_jan_dec,mo,,,,,Non-Breeding,,,
Snow Bunting,Plectrophenax nivalis,SNBU,Gr,A,1,60,two-season,2,Arctic,background_jan_feb,min_pred,"6, 7, 27",,,,Non-Breeding,,,
Snow Goose,Chen caerulescens,SNGO,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,tss,,,,,Non-Breeding,,,
Snowy Egret,Egretta thula,SNEG,Wet,GEN,1,60,two-season,9,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Snowy Owl,Bubo scandiacus,SNOW,Gr,A,1,60,two-season,2,Arctic,background_jan_dec,custom,,,,,Non-Breeding,,,
Snowy Plover,Charadrius nivosus,SNPL,Wet,"C,D",1,60,two-season,2,Coastal,background_jan_feb,mk,,,,,Non-Breeding,,,
Solitary Sandpiper,Tringa solitaria,SOSA,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,custom,"11,0,27,32,42,31",,,,Non-Breeding,,,
Song Sparrow,Melospiza melodia,SOSP,Sh,GEN,1,60,two-season,2,Generalists,background_jan_feb,custom,"6,8",,,,Non-Breeding,,,
Sora,Porzana carolina,SORA,Wet,M,1,60,two-season,6,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Spot-breasted Oriole,Icterus pectoralis,SBOR,U,Urban/Suburban,1,366,resident,2,Urban.Suburban,background_jan_dec,om_10,,,,"33,34,43,44,48,49,52,54,55,56,57,65,66",Non-Breeding,,,
Spotted Dove,Streptopelia chinensis,SPDO,U,Urban/Suburban,1,366,resident,2,Urban.Suburban,background_jan_dec,mk,,,,"34,35,36,47,48,53,54",Non-Breeding,,,
Spotted Owl,Strix occidentalis,SPOW,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,tss,,,,,Non-Breeding,,,
Spotted Sandpiper,Actitis macularius,SPSA,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,min_pred,"6,11,30,28,29",,,,Non-Breeding,,,
Spotted Towhee,Pipilo maculatus,SPTO,Sh,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,om_10,,,,,Non-Breeding,,,
Sprague's Pipit,Anthus spragueii,SPPI,Gr,G,335,32,two-season,3,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Spruce Grouse,Falcipennis canadensis,SPGR,Wd,F-B,1,366,resident,2,Boreal.Forests,background_jan_dec,mk,,,,"15,16,32,33,34,47,48",Non-Breeding,,,
Steller's Eider,Polysticta stelleri,STEI,Wet,"A,C",1,60,two-season,2,Coastal,background_jan_feb,om_10,5,,,,Non-Breeding,,,
Steller's Jay,Cyanocitta stelleri,STJA,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,tss,,,,,Non-Breeding,,,
Stilt Sandpiper,Calidris himantopus,STSA,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,"32,11",,,,Non-Breeding,,,
Summer Tanager,Piranga rubra,SUTA,Wd,"F-E,F-W",1,60,two-season,2,Eastern.Forests,background_jan_feb,eq,"5,9,15,18,19,21,22,23,24,25,26,27,28,29,29,30,31,32,37,39,40",,,31,Non-Breeding,,,
Surf Scoter,Melanitta perspicillata,SUSC,Wet,F-B,1,60,wintering,2,Coastal,background_jan_feb,tss,"18,9,24,23,100,13,22,28,29,7",,,,Non-Breeding,,,
Surfbird,Calidris virgata,SURF,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,custom,"1,2",16,"1,2,3,6,7,8,9,10,14,31,34,35,39,46,47,48,49,50,51,52,53,54,55,56,57,58,66","3,4,6,7,8,9,10,12,14,15,16,20,21,25,26,27,28,31,33,34,35,36,37,39,46,47,48,49,51,52,54,55,56,57,58,59,64,65,66",Non-Breeding,,,
Swainson's Thrush,Catharus ustulatus,SWTH,Wd,"F-W,F-B",1,60,two-season,2,Boreal.Forests,background_jan_feb,mk,"0,5,7,8,10,11,12,13,23,30,32,100","0,100",,,Non-Breeding,,,
Swamp Sparrow,Melospiza georgiana,SWSP,Wet,M,1,60,two-season,10,Marshlands,background_jan_feb,om_10,,,,,Non-Breeding,,,
Tennessee Warbler,Oreothlypis peregrina,TEWA,Wd,F-B,1,60,two-season,2,Boreal.Forests,background_jan_feb,mo,"0,7,8,11,12,13,23,29,30,32,100","0,100",,,Non-Breeding,,,
Thick-billed Kingbird,Tyrannus crassirostris,TBKI,Wd,F-W,1,60,two-season,2,Subtropical.Forests,background_jan_feb,mo,,,,,Non-Breeding,,,
Thick-billed Murre,Uria lomvia,TBMU,Wet,"O,C",1,60,two-season,2,Coastal,background_jan_feb,tss,,,3,"6,9,10,11,12,13,15,16,17,18,19,22,23,24,27,28,29,32,34,100",Non-Breeding,,,
Townsend's Solitaire,Myadestes townsendi,TOSO,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mo,,,,,Non-Breeding,,,
Townsend's Warbler,Setophaga townsendi,TOWA,Wd,"F-W,F-B",1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Tree Swallow,Tachycineta bicolor,TRES,Var,GEN,335,1,two-season,2,Generalists,background_dec,om_10,"9,11,21,0,100,5,14,21,22,24,29",,,,Non-Breeding,,,
