Common.Name,Scientific.Name,Code,Audubon.Habitat.Guild,Habitat,Start.Date,End.Date,Type,Vagrant,Group,Background,Threshold,Drop.BCR,Drop.from.M,Add.to.M,BCR.Mask,Season,Generation.Time,Dispersal.Distance,Dispersal.Rate
Brewer's Blackbird,Euphagus cyanocephalus,BRBL,Var,GEN,1,60,two-season,2,Generalists,background_jan_feb,om_10,"12,17,6,11,23,22,13,31,28,29,24,30,0,100",,,,Non-Breeding,,,
Brewer's Sparrow,Spizella breweri,BRSP,Sh,D,1,60,two-season,9,Aridlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Bridled Titmouse,Baeolophus wollweberi,BRTI,Wd,F-W,1,366,resident,2,Subtropical.Forests,background_jan_dec,mo,,,,,Non-Breeding,,,
Broad-billed Hummingbird,Cynanthus latirostris,BBIH,Wd,F-W,335,1,two-season,2,Subtropical.Forests,background_dec,mk,"20,21,25,26,27,32,36,37,39",,,"40,42",Non-Breeding,,,
Broad-tailed Hummingbird,Selasphorus platycercus,BTAH,Wd,F-W,335,1,two-season,2,Western.Forests,background_dec,tss,"16,20,21,25,26,27,28,29,32,33,34,35,37,43",,,"2,4,5,9,10,16",Non-Breeding,,,
Broad-winged Hawk,Buteo platypterus,BWHA,Wd,"F-E,F-B",1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,"40,41,42,36,48,49,56,65,66,55,57,33,43,44,34",Non-Breeding,,,
Bronzed Cowbird,Molothrus aeneus,BROC,Var,D,1,60,two-season,2,Aridlands,background_jan_feb,tss,,,,"40, 42",Non-Breeding,,,
Brown Creeper,Certhia americana,BRCR,Wd,"F-E,F-B,F-W",1,60,two-season,2,Western.Forests,background_jan_feb,custom,,,,,Non-Breeding,,,
Brown Pelican,Pelecanus occidentalis,BRPE,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,tss,,,,,Non-Breeding,,,
Brown Thrasher,Toxostoma rufum,BRTH,Sh,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,om_10,,,,"45,47,48,52,53,54,58,60,33,34,49,50,51,56,57,61",Non-Breeding,,,
Brown-capped Rosy-Finch,Leucosticte australis,BCRF,Var,A,1,60,two-season,2,Arctic,background_jan_feb,mk,,"4, 5, 6, 11, 19, 33",,"2, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 22, 24, 32, 33, 34, 35, 47, 48, 60",Non-Breeding,,,
